pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,None/Home,HOV2,22,2234,5.793028965,13.21481893,-0.113771042,soundcast
Child Age 0-4,None/Home,HOV2,23,1613,5.919312997,13.40134895,-0.020529533,soundcast
Child Age 0-4,None/Home,HOV3+,0,206,6.15478721,13.54990678,0.030634932,soundcast
Child Age 0-4,None/Home,HOV3+,1,129,5.538352444,12.85662073,0.198868794,soundcast
Child Age 0-4,None/Home,HOV3+,2,107,7.014560729,15.04870006,-0.084384052,soundcast
Child Age 0-4,None/Home,HOV3+,3,115,6.690471125,14.17392565,-0.229552609,soundcast
Child Age 0-4,None/Home,HOV3+,4,205,7.193348261,15.11260418,0.033384672,soundcast
Child Age 0-4,None/Home,HOV3+,5,206,5.846486821,13.2284173,-0.150903092,soundcast
Child Age 0-4,None/Home,HOV3+,6,490,6.802782839,15.61694881,0.926520235,soundcast
Child Age 0-4,None/Home,HOV3+,7,1745,6.511968425,15.9841086,1.708899436,soundcast
Child Age 0-4,None/Home,HOV3+,8,3637,6.190893692,15.00573559,1.20354697,soundcast
Child Age 0-4,None/Home,HOV3+,9,5552,6.442593595,14.97386189,0.800203752,soundcast
Child Age 0-4,None/Home,HOV3+,10,8939,6.027097455,14.04759301,0.437709354,soundcast
Child Age 0-4,None/Home,HOV3+,11,9243,5.779095203,13.69092266,0.417108959,soundcast
Child Age 0-4,None/Home,HOV3+,12,8820,5.78802978,13.60124763,0.41474536,soundcast
Child Age 0-4,None/Home,HOV3+,13,9828,5.755139163,13.57982812,0.385874109,soundcast
Child Age 0-4,None/Home,HOV3+,14,9468,5.586874769,13.37446279,0.43648011,soundcast
Child Age 0-4,None/Home,HOV3+,15,13025,5.344151506,13.54915174,0.877213159,soundcast
Child Age 0-4,None/Home,HOV3+,16,10868,5.126960502,14.0004446,1.627889395,soundcast
Child Age 0-4,None/Home,HOV3+,17,9908,5.13028841,14.21091879,1.787268209,soundcast
Child Age 0-4,None/Home,HOV3+,18,8433,5.387557066,13.83125975,1.088543044,soundcast
Child Age 0-4,None/Home,HOV3+,19,7935,5.714079414,14.36301492,1.181329984,soundcast
Child Age 0-4,None/Home,HOV3+,20,6335,5.798106256,13.18038073,-0.040350131,soundcast
Child Age 0-4,None/Home,HOV3+,21,3436,5.647238447,13.0310189,-0.016044549,soundcast
Child Age 0-4,None/Home,HOV3+,22,2418,6.030709015,13.50785905,-0.032897771,soundcast
Child Age 0-4,None/Home,HOV3+,23,1701,5.886423586,13.26599249,-0.10219093,soundcast
Child Age 0-4,None/Home,School Bus,0,1,1.458088889,6.914163441,1.034163441,soundcast
Child Age 0-4,None/Home,School Bus,8,1,4.73,17.25,0.94,soundcast
Child Age 0-4,None/Home,School Bus,10,2,2.828004798,9.006567241,0.01156724,soundcast
Child Age 0-4,None/Home,School Bus,11,1,0.706060606,5.430247934,1.200247934,soundcast
Child Age 0-4,None/Home,School Bus,12,4,3.676959186,11.13324033,0.133240327,soundcast
